"","DFE","selfing","pis_avg","pis_sd","B_avg","B_sd","empirical_Ne_avg","empirical_Ne_sd","true_mean_avg","true_mean_sd","true_shape_avg","true_shape_sd","adjusted_gamma_avg","adjusted_gamma_sd","gamma_avg","gamma_sd","b_avg","b_sd","GammaZero.negGmean_avg","GammaZero.negGmean_sd","GammaZero.negGshape_avg","GammaZero.negGshape_sd","F_avg","F_sd","selfing_Ne_avg","selfing_Ne_sd","selfing_B_avg","selfing_B_sd","empircal_B_selfing_adjust_avg","empircal_B_selfing_adjust_sd","F_adjusted_gamma_avg","F_adjusted_gamma_sd","deltaNe_avg","deltaNe_sd","newNE_avg","newNE_sd","newNegamma_avg","newNegamma_sd"
"1","DFE1","0",0.00626470485333333,8.60661664006943e-05,0.949197705050505,0.0130403282425294,4745.98852525252,65.2016412126472,5,0,0.9,0,4.74598852525252,0.0652016412126471,5.40328378,0.329730443704286,0.74274,0.0429115718658732,5.4262488,0.579269764893439,0.7704074,0.163592863350759,0,0,5000,0,1,0,0.949197705050505,0.0130403282425294,5,0,254.011474747476,65.2016412126472,4745.98852525252,65.2016412126472,4.74598852525252,0.0652016412126469
"2","DFE1","50",0.00463527850666667,6.95793650436614e-05,0.702314925252525,0.0105423280369184,3511.57462626263,52.711640184592,5,0,0.9,0,3.51157462626263,0.0527116401845918,5.117828524,0.495073936091007,0.81656,0.157017492656073,4.9675618,0.152010507857845,0.8517128,0.0940893466004521,0.333333333333333,0,3750,0,0.75,0,0.9364199003367,0.0140564373825578,3.75,0,238.425373737374,52.711640184592,4761.57462626263,52.7116401845922,4.76157462626263,0.0527116401845923
"3","DFE1","80",0.00351616234666667,9.19236556183253e-05,0.532751870707071,0.0139278266088371,2663.75935353535,69.6391330441858,5,0,0.9,0,2.66375935353535,0.0696391330441857,4.266403404,0.592329466913074,1.00378,0.291476048758727,4.4970756,0.806136647690266,0.9261912,0.303547240520648,0.666666666666667,0,3000,0,0.6,0,0.887919784511784,0.0232130443480619,3,0,336.240646464647,69.6391330441858,4663.75935353535,69.6391330441858,4.66375935353535,0.0696391330441858
"4","DFE1","90",0.002988304,8.9165192964968e-05,0.452773333333333,0.0135098777219648,2263.86666666667,67.5493886098243,5,0,0.9,0,2.26386666666667,0.0675493886098243,4.802400732,0.915373892864473,0.78146,0.161483011490373,5.2508492,1.07128404606911,0.651357,0.113617362086523,0.818181818181818,0,2750,0,0.55,0,0.823224242424242,0.0245634140399361,2.75,0,486.133333333334,67.5493886098243,4513.86666666667,67.5493886098244,4.51386666666667,0.0675493886098245
"5","DFE1","95",0.00244169194666667,0.00011939076685959,0.369953325252525,0.0180895101302408,1849.76662626263,90.4475506512042,5,0,0.9,0,1.84976662626263,0.0904475506512042,4.00008188,0.476074950086147,0.67662,0.139486207203436,4.4152314,0.388523550509232,0.5670932,0.146802042200373,0.904761904761905,0,2625,0,0.525,0,0.704673000481,0.0344562097718873,2.625,0,775.233373737374,90.4475506512042,4224.76662626263,90.4475506512042,4.22476662626263,0.0904475506512042
"6","DFE1","99",0.00110213397333333,0.000177353773791542,0.166989995959596,0.0268717839078093,834.94997979798,134.358919539047,5,0,0.9,0,0.83494997979798,0.134358919539047,3.202872604,0.900854524032629,0.25922,0.0267268965650709,2.3383876,0.585586510669687,0.3365318,0.0302787866946481,0.98019801980198,0,2525,0,0.505,0,0.330673259325933,0.0532114532827908,2.525,0,1690.05002020202,134.358919539047,3309.94997979798,134.358919539047,3.30994997979798,0.134358919539047
"7","DFE2","0",0.00614291114666667,0.000172063502880112,0.930744113131313,0.0260702277091078,4653.72056565656,130.351138545539,50,0,0.5,0,46.5372056565657,1.30351138545539,54.226458904,5.34672718220955,0.47706,0.0139098166774404,50.6042186,4.12344603698373,0.492748,0.0181011546454915,0,0,5000,0,1,0,0.930744113131313,0.0260702277091078,50,0,346.279434343435,130.351138545539,4653.72056565656,130.351138545539,46.5372056565657,1.3035113854554
"8","DFE2","50",0.00447763221333333,0.000182114824316567,0.678429123232323,0.0275931551994799,3392.14561616162,137.965775997399,50,0,0.5,0,33.9214561616162,1.37965775997399,53.117085732,3.44839560481644,0.47358,0.0221586777583862,51.9994702,6.63987449576987,0.4750356,0.0438903635642267,0.333333333333333,0,3750,0,0.75,0,0.904572164309764,0.0367908735993065,37.5,0,357.854383838384,137.965775997399,4642.14561616162,137.965775997399,46.4214561616162,1.37965775997399
"9","DFE2","80",0.00322131989333333,8.39938576466636e-05,0.488078771717172,0.0127263420676763,2440.39385858586,63.6317103383816,50,0,0.5,0,24.4039385858586,0.636317103383814,45.1368535,3.73342445301731,0.47928,0.0287852740129393,44.3963174,7.32847694118115,0.4871794,0.0597255200672208,0.666666666666667,0,3000,0,0.6,0,0.813464619528619,0.0212105701127938,30,0,559.606141414142,63.6317103383816,4440.39385858586,63.6317103383813,44.4039385858586,0.636317103383814
"10","DFE2","90",0.00225220010666667,9.10950959317375e-05,0.34124244040404,0.0138022872623845,1706.2122020202,69.0114363119224,50,0,0.5,0,17.062122020202,0.690114363119225,37.870466968,6.40441355406154,0.46556,0.0273075630549487,41.8726318,10.365285640433,0.4500146,0.0485862584822087,0.818181818181818,0,2750,0,0.55,0,0.620440800734619,0.02509506774979,27.5,0,1043.7877979798,69.0114363119224,3956.2122020202,69.0114363119225,39.562122020202,0.690114363119227
"11","DFE2","95",0.00114136,6.99625061826691e-05,0.172933333333333,0.0106003797246468,864.666666666667,53.0018986232341,50,0,0.5,0,8.64666666666666,0.530018986232341,21.124781888,5.88904094653277,0.4617,0.0725547379569384,29.4393996,9.10018977004976,0.3876356,0.0725285537688433,0.904761904761905,0,2625,0,0.525,0,0.329396825396825,0.0201911994755178,26.25,0,1760.33333333333,53.0018986232341,3239.66666666667,53.0018986232342,32.3966666666667,0.530018986232339
"12","DFE2","99",0.0002800992,9.52178320703521e-05,0.0424392727272727,0.0144269442530837,212.196363636364,72.1347212654183,50,0,0.5,0,2.12196363636364,0.721347212654183,6.386344608,1.41025651443002,0.3541,0.0405314692553823,8.927583,1.38020713808852,0.3312498,0.147524018328203,0.98019801980198,0,2525,0,0.505,0,0.0840381638163816,0.0285682064417498,25.25,0,2312.80363636364,72.1347212654182,2687.19636363636,72.1347212654182,26.8719636363636,0.721347212654181
"13","DFE3","0",0.00590035434666667,0.000100304852792036,0.893993082828283,0.0151977049684903,4469.96541414141,75.9885248424514,1000,0,0.3,0,893.993082828283,15.1977049684903,949.559357308,138.63948410774,0.29618,0.0111077450456877,627.1491234,107.887507931368,0.3185406,0.0205811346212982,0,0,5000,0,1,0,0.893993082828283,0.0151977049684903,1000,0,530.034585858586,75.9885248424514,4469.96541414141,75.9885248424514,893.993082828283,15.1977049684902
"14","DFE3","50",0.0040629088,7.05751758293397e-05,0.615592242424242,0.0106932084589908,3077.96121212121,53.4660422949542,1000,0,0.3,0,615.592242424242,10.6932084589909,1102.759572468,243.834753549476,0.28546,0.0162620109457595,730.7180632,133.387949220496,0.3032984,0.0205964707122361,0.333333333333333,0,3750,0,0.75,0,0.820789656565656,0.0142576112786545,750,0,672.038787878789,53.4660422949542,4327.96121212121,53.4660422949541,865.592242424242,10.6932084589908
"15","DFE3","80",0.00256872704,7.51136542376153e-05,0.389201066666667,0.011380856702669,1946.00533333333,56.9042835133449,1000,0,0.3,0,389.201066666667,11.380856702669,933.547392232,448.165495265901,0.28762,0.0252522672249444,743.1118774,415.726483328782,0.2989646,0.0467376825570117,0.666666666666667,0,3000,0,0.6,0,0.648668444444444,0.0189680945044483,600,0,1053.99466666667,56.9042835133449,3946.00533333333,56.9042835133449,789.201066666667,11.3808567026689
"16","DFE3","90",0.00165473216,7.4255926286348e-05,0.250716993939394,0.0112508979221739,1253.58496969697,56.2544896108697,1000,0,0.3,0,250.716993939394,11.250897922174,546.891108304,156.216829093914,0.29284,0.0125065183004704,663.4146848,468.888911065482,0.2781432,0.0359788217247313,0.818181818181818,0,2750,0,0.55,0,0.455849079889807,0.0204561780403163,550,0,1496.41503030303,56.2544896108697,3503.58496969697,56.2544896108696,700.716993939394,11.2508979221739
"17","DFE3","95",0.00097230976,4.66443340123154e-05,0.147319660606061,0.00706732333519931,736.598303030303,35.3366166759965,1000,0,0.3,0,147.319660606061,7.06732333519932,363.488800968,62.580618492036,0.2815,0.0092997311789105,512.233261,233.448652645325,0.2605694,0.0399382917298675,0.904761904761905,0,2625,0,0.525,0,0.280608877344877,0.0134615682575225,525,0,1888.4016969697,35.3366166759966,3111.5983030303,35.3366166759965,622.319660606061,7.06732333519929
"18","DFE3","99",0.000318555306666667,8.53904594705417e-05,0.0482659555555555,0.0129379484046275,241.329777777778,64.6897420231376,1000,0,0.3,0,48.2659555555555,12.9379484046275,171.068717576,99.406701863971,0.25852,0.0285201157080402,619.024249,344.139892906696,0.17279,0.0550712429857907,0.98019801980198,0,2525,0,0.505,0,0.0955761496149615,0.0256196998111436,505,0,2283.67022222222,64.6897420231377,2716.32977777778,64.6897420231377,543.265955555555,12.9379484046275
