"","selfing","DFE","Average deleterious substitutions","Deleterious substitutions SD","Average beneficial substitutions","Beneficial substitutions SD","Alpha avg","Alpha SD"
"1","0","DFE1",1438.4,31.4769757124156,935.8,32.0889389042393,0.393881737383358,0.0110559084762723
"2","50","DFE1",1514.2,56.9183625906438,912.2,30.1860895115614,0.375910750753777,0.00620983252939428
"3","80","DFE1",1820.8,28.0303407043154,813.4,17.8969271105405,0.308797256306785,0.00689194080940092
"4","90","DFE1",2253.6,68.2041054482793,681.8,14.7546602807384,0.232360974651786,0.0070617651029576
"5","95","DFE1",2785,77.1070684178824,552.4,19.5524934471284,0.165389374957176,0.00300937221939322
"6","99","DFE1",3363.8,56.9051842980936,343.4,15.5338340405709,0.0925903038590574,0.00436377854501254
"7","0","DFE2",618.2,7.82304288624318,912,40.2057209859492,0.595676265168785,0.00857316389164494
"8","50","DFE2",682,28.5744641244591,878.2,33.2520676048874,0.562637393185414,0.00804508181324463
"9","80","DFE2",810,46.984039843334,753.4,33.0726473086144,0.481686644793731,0.0216398139376728
"10","90","DFE2",1087.4,31.5007936407958,617.6,20.0199900099875,0.362010474434511,0.00978757011966524
"11","95","DFE2",1451.2,28.0124972110663,464,5.70087712549569,0.242304591118436,0.00376927691013852
"12","99","DFE2",2133,26.542418879974,276.6,7.82943165242535,0.114782626539764,0.00243982186474288
"13","0","DFE3",460.8,11.7558496077485,869.2,24.3762179182908,0.653031159989371,0.00902987899829088
"14","50","DFE3",509,16.3859696081739,806.6,25.7546112376017,0.612900055027931,0.0112496045331063
"15","80","DFE3",543.2,27.224988521577,620.6,18.994736112934,0.533229629671176,0.00821406197157877
"16","90","DFE3",635.6,34.2461676688064,464.8,25.9557315443044,0.422210215931124,0.0114841434745444
"17","95","DFE3",762.2,24.9439371391126,341.4,20.9475535564419,0.308979279767288,0.0171737532549548
"18","99","DFE3",1040.8,36.6223975184586,191.6,18.7696563633967,0.155326886804846,0.0118800029179026
