"Selfing_rate","DFE","beta","s","N1","N2","t2"
0,"DFE1",0.68278,-0.0262082,100,155.6,99.3027
50,"DFE1",0.8613,-0.025717,100,153,8.16116
80,"DFE1",2.62612,-0.0200274,100,161.6,5.33876
90,"DFE1",0.95194,-0.0260788,100,152.8,39.94766
95,"DFE1",23.7341,-0.0161304,100,196.8,106.036
100,"DFE1",20.2251,-0.0123482,100,405.2,78.328
0,"DFE2",0.46892,-0.2770428,100,158.4,5
50,"DFE2",0.4467,-0.285312,100,156,5.7896
80,"DFE2",0.4649,-0.2338616,100,164.8,5.67908
90,"DFE2",0.46022,-0.1898364,100,222.6,9.4942
95,"DFE2",0.43966,-0.1016956,100,316.2,24.29166
100,"DFE2",65.87188,-0.018869,100,1000,66.20906
0,"DFE3",0.29476,-4.9999794,100,147.4,5
50,"DFE3",0.28748,-5.3570684,100,153,5
80,"DFE3",0.29404,-4.8562912,100,161.8,111.01808
90,"DFE3",0.28326,-3.2377706,100,211.8,10.04528
95,"DFE3",0.28422,-1.8256432,100,327.8,17.70042
100,"DFE3",0.35398,-0.5035144,100,851.6,81.82492
