"","DFE","selfing","GammaZero.negGmean_avg","GammaZero.negGmean_sd","GammaZero.negGshape_avg","GammaZero.negGshape_sd","true_mean","true_shape"
"1","DFE1","0",5.4262488,0.579269764893439,0.7704074,0.163592863350759,5,0.9
"2","DFE2","0",50.6042186,4.12344603698373,0.492748,0.0181011546454915,50,0.5
"3","DFE3","0",627.1491234,107.887507931368,0.3185406,0.0205811346212982,1000,0.3
"4","DFE1","50",4.9675618,0.152010507857845,0.8517128,0.0940893466004521,5,0.9
"5","DFE2","50",51.9994702,6.63987449576987,0.4750356,0.0438903635642267,50,0.5
"6","DFE3","50",730.7180632,133.387949220496,0.3032984,0.0205964707122361,1000,0.3
"7","DFE1","80",4.4970756,0.806136647690266,0.9261912,0.303547240520648,5,0.9
"8","DFE2","80",44.3963174,7.32847694118115,0.4871794,0.0597255200672208,50,0.5
"9","DFE3","80",743.1118774,415.726483328782,0.2989646,0.0467376825570117,1000,0.3
"10","DFE1","99",2.3383876,0.585586510669687,0.3365318,0.0302787866946481,5,0.9
"11","DFE2","99",8.927583,1.38020713808852,0.3312498,0.147524018328203,50,0.5
"12","DFE3","99",619.024249,344.139892906696,0.17279,0.0550712429857907,1000,0.3
