"","pi","pi_sd","segregating_sites","segregating_sites_sd","B","empirical_Ne"
"eqm_lowrec0_DFE1","0.00607383637333333","5.79560075605555e-05","6163.6","22.0068171256091",0.920278238383838,4601.39119191919
"eqm_lowrec0_DFE2","0.00586255018666667","9.45610967152795e-05","5960.8","76.5192786165683",0.88826517979798,4441.3258989899
"eqm_lowrec0_DFE3","0.00581571968","7.9356438451981e-05","5719.4","93.0016128892397",0.881169648484848,4405.84824242424
"eqm_lowrec50_DFE1","0.00523302784","5.97246976214774e-05","5646.6","58.1403474361824",0.792883006060606,3964.41503030303
"eqm_lowrec50_DFE2","0.00459956522666667","0.000104555220730627","4955.2","110.894995378511",0.696903822222223,3484.51911111111
"eqm_lowrec50_DFE3","0.00444215765333333","8.62042686593291e-05","4553.2","42.3992924469265",0.673054189898989,3365.27094949495
"eqm_lowrec80_DFE1","0.00489739328","0.000569628156581183","5388.6","405.223765344532",0.742029284848485,3710.14642424242
"eqm_lowrec80_DFE2","0.0033981504","9.54449233726854e-05","4016.2","20.0424549394529",0.514871272727273,2574.35636363636
"eqm_lowrec80_DFE3","0.00336193130666667","9.10669792060229e-05","3619.2","54.7740814619469",0.509383531313132,2546.91765656566
"eqm_lowrec90_DFE1","0.00283742698666667","0.000143402512977008","3781","168.069925923706",0.42991317979798,2149.5658989899
"eqm_lowrec90_DFE2","0.00119705258666667","0.000119990706777098","1960.4","101.942630925438",0.181371604040405,906.858020202023
"eqm_lowrec90_DFE3","0.00101301696","8.87034624213308e-05","1499","55.529271560142",0.153487418181818,767.437090909091
"eqm_lowrec95_DFE1","0.00235377450666667","0.000195154677456932","3359.2","118.937798869829",0.356632501010101,1783.16250505051
"eqm_lowrec95_DFE2","0.000789722666666667","0.000146339458753498","1537.6","71.7307465456759",0.11965494949495,598.274747474748
"eqm_lowrec95_DFE3","0.00059517696","7.73664573900602e-05","1111.8","34.0470263018667",0.0901783272727273,450.891636363636
"eqm_lowrec99_DFE1","0.00129015445333333","0.000212157256336742","2397.6","103.190600347125",0.195477947474747,977.389737373735
"eqm_lowrec99_DFE2","0.000444722133333333","0.0001025125712819","1061.6","35.7673035047374",0.0673821414141414,336.910707070707
"eqm_lowrec99_DFE3","0.000339140693333333","7.8923455160633e-05","744.2","45.2846552377293",0.0513849535353535,256.924767676767
