"","Row.names","pi","pi_sd","segregating_sites","segregating_sites_sd","B","empirical_Ne","Nempirical","m1_mean","m1_sd","m2_mean","m2_sd","m2_pi_mean","m2_sd_mean","m3_mean","m3_sd","m4_mean","m4_sd","DFE","selfing","pos"
"1","eqm_selfing0_DFE1","0.00626470485333333","8.60661664006943e-05","6284.6","72.1339032633061",0.949197705050504,4745.98852525252,4745.98852525252,"6284.6","72.1339032633061","13563.8","136.659064829231","0.00343139534222222","5.09761241793068e-05","59701.8","231.345412748989","0","0","DFE1","0%",FALSE
"7","eqm_selfing50_DFE1","0.00463527850666667","6.95793650436614e-05","4674","52.8961246217528",0.702314925252526,3511.57462626263,3511.57462626263,"4674","52.8961246217528","10076.8","121.415402647275","0.00254678805333333","4.90995540712687e-05","44252.6","371.711312714585","0","0","DFE1","50%",FALSE
"13","eqm_selfing80_DFE1","0.00351616234666667","9.19236556183253e-05","3557.2","67.8726749141361",0.532751870707071,2663.75935353536,2663.75935353536,"3557.2","67.8726749141361","7950.2","112.272881854881","0.00201853112888889","2.76703586735975e-05","34425.4","118.339765083424","0","0","DFE1","80%",FALSE
"16","eqm_selfing90_DFE1","0.002988304","8.9165192964968e-05","3148.6","96.7486434013418",0.452773333333333,2263.86666666667,2263.86666666667,"3148.6","96.7486434013418","6996.8","131.267665477832","0.00173701639111111","4.72458372534988e-05","29910","269.158875016225","0","0","DFE1","90%",FALSE
"19","eqm_selfing95_DFE1","0.00244169194666667","0.00011939076685959","2665.8","83.9565363744837",0.369953325252526,1849.76662626263,1849.76662626263,"2665.8","83.9565363744837","6259.8","190.323934385563","0.00152851463111111","3.2401562157957e-05","25207.4","696.280690526457","0","0","DFE1","95%",FALSE
"22","eqm_selfing99_DFE1","0.00110213397333333","0.000177353773791542","1627.2","130.551522396332",0.166989995959595,834.949979797977,834.949979797977,"1627.2","130.551522396332","4281.2","293.212721415698","0.000842947342222222","0.000111236369064658","14969.6","1022.91094431529","0","0","DFE1","99%",FALSE
"3","eqm_selfing0_DFE2","0.00614291114666667","0.000172063502880112","6166.4","98.768922237716",0.930744113131314,4653.72056565657,4653.72056565657,"6166.4","98.768922237716","7930.4","103.316504005894","0.00158662407111111","4.80297496538341e-05","58415.4","295.857736082733","0","0","DFE2","0%",FALSE
"9","eqm_selfing50_DFE2","0.00447763221333333","0.000182114824316567","4496.2","93.0521359239002",0.678429123232323,3392.14561616161,3392.14561616161,"4496.2","93.0521359239002","5836.8","105.150844028947","0.00118532849777778","3.92475240738358e-05","42626.2","277.634111737013","0","0","DFE2","50%",FALSE
"14","eqm_selfing80_DFE2","0.00322131989333333","8.39938576466636e-05","3259.8","71.7962394558378",0.488078771717171,2440.39385858586,2440.39385858586,"3259.8","71.7962394558378","4463.2","95.0457784438636","0.000900939093333333","3.51782908296074e-05","30830.8","468.250146823255","0","0","DFE2","80%",FALSE
"17","eqm_selfing90_DFE2","0.00225220010666667","9.10950959317375e-05","2415.2","89.6030133421862",0.341242440404041,1706.2122020202,1706.2122020202,"2415.2","89.6030133421862","3559.4","137.094128247712","0.000697517013333333","1.90008272347636e-05","22607.6","659.555380540558","0","0","DFE2","90%",FALSE
"20","eqm_selfing95_DFE2","0.00114136","6.99625061826691e-05","1471.4","125.123139346805",0.172933333333333,864.666666666667,864.666666666667,"1471.4","125.123139346805","2655.6","244.457153710011","0.000459725582222222","2.986941562947e-05","13919.8","975.306720985762","0","0","DFE2","95%",FALSE
"24","eqm_selfing99_DFE2","0.0002800992","9.52178320703521e-05","672.6","54.4912837066627",0.0424392727272727,212.196363636364,212.196363636364,"672.6","54.4912837066627","1628","135.452943858744","0.000174571235555556","4.27594501814817e-05","6323.6","525.760687005029","0","0","DFE2","99%",FALSE
"5","eqm_selfing0_DFE3","0.00590035434666667","0.000100304852792036","5778.6","35.2888084242016",0.893993082828283,4469.96541414142,4469.96541414142,"5778.6","35.2888084242016","4273.4","49.013263511013","0.000955505777777778","1.81565911118242e-05","55132.6","153.518077111459","0","0","DFE3","0%",FALSE
"11","eqm_selfing50_DFE3","0.0040629088","7.05751758293397e-05","4036","46.0543157586778",0.615592242424242,3077.96121212121,3077.96121212121,"4036","46.0543157586778","3003","36.4897245810379","0.000674774968888889","1.98233134043059e-05","37792.6","109.969541237563","0","0","DFE3","50%",FALSE
"15","eqm_selfing80_DFE3","0.00256872704","7.51136542376153e-05","2581.6","23.5966099260042",0.389201066666667,1946.00533333333,1946.00533333333,"2581.6","23.5966099260042","2048.2","67.5107398863322","0.000457577955555556","2.02261863297051e-05","24204.2","257.714376781739","0","0","DFE3","80%",FALSE
"18","eqm_selfing90_DFE3","0.00165473216","7.4255926286348e-05","1787.8","49.9969999099946",0.250716993939394,1253.58496969697,1253.58496969697,"1787.8","49.9969999099946","1602","24.7790233867277","0.000335188835555556","7.93015926285358e-06","16706.8","416.039901932495","0","0","DFE3","90%",FALSE
"21","eqm_selfing95_DFE3","0.00097230976","4.66443340123154e-05","1172.2","59.8389505255565",0.147319660606061,736.598303030303,736.598303030303,"1172.2","59.8389505255565","1212.8","54.2051658054839","0.000227204977777778","1.84374926606857e-05","11039.2","343.344870356323","0","0","DFE3","95%",FALSE
"26","eqm_selfing99_DFE3","0.000318555306666667","8.53904594705417e-05","626.6","74.3020861079956",0.0482659555555556,241.329777777778,241.329777777778,"626.6","74.3020861079956","817.6","69.1288651722274","0.000104800853333333","2.5825970550484e-05","5665","505.260823733644","0","0","DFE3","99%",FALSE
"2","eqm_selfing0_DFE1_pos","0.00143568554666667","3.08966626814253e-05","2596.6","60.8383102986926",0.217528113131314,1087.64056565657,1087.64056565657,"2596.6","60.8383102986926","7006.6","53.0452636905502","0.00117028323555556","1.87621974692981e-05","29611.6","388.32434896617","357","10.5118980208143","DFE1","0%",TRUE
"8","eqm_selfing50_DFE1_pos","0.000944603946666667","6.774647195364e-05","1617.8","82.3024908493054",0.14312181010101,715.609050505051,715.609050505051,"1617.8","82.3024908493054","4418","88.6199751749006","0.000780323271111111","1.84147421838155e-05","16492","376.971484332701","212.6","12.6609636284131","DFE1","50%",TRUE
"23","eqm_selfing99_DFE1_pos","0.00012582208","2.57535887718111e-05","354","54.060151683102",0.0190639515151515,95.3197575757575,95.3197575757576,"354","54.060151683102","1061","148.736343910962","0.000127793066666667","2.55246624356586e-05","3327.6","371.279948287003","32.4","4.15932686861708","DFE1","99%",TRUE
"4","eqm_selfing0_DFE2_pos","0.00148086421333333","5.12911390025044e-05","2581.6","64.2557390432948",0.224373365656565,1121.86682828283,1121.86682828283,"2581.6","64.2557390432948","4850","44.5084261685358","0.000660486471111111","1.23514121612825e-05","29006.4","370.558092611671","374.6","16.2880324164707","DFE2","0%",TRUE
"10","eqm_selfing50_DFE2_pos","0.00092167232","3.41319938187163e-05","1559.2","51.4752367648756",0.139647321212121,698.236606060606,698.236606060606,"1559.2","51.4752367648756","3082.4","89.2513305222953","0.000448748373333333","1.02386718935033e-05","15969.8","368.146302439669","204.2","5.80517010948","DFE2","50%",TRUE
"25","eqm_selfing99_DFE2_pos","0.000100289706666667","2.60389000058502e-05","325.8","25.4401257858526",0.0151954101010101,75.9770505050507,75.9770505050508,"325.8","25.4401257858526","872.8","76.2082672680596","8.48952888888889e-05","3.26576171347891e-05","3125","206.171045493784","27.4","6.42650760522385","DFE2","99%",TRUE
"6","eqm_selfing0_DFE3_pos","0.00145442496","3.61194110495113e-05","2550.2","45.8606585212206",0.220367418181818,1101.83709090909,1101.83709090909,"2550.2","45.8606585212206","2585.8","52.7797309580108","0.000347086791111111","9.64120505671259e-06","28523","239.297931457838","350.2","14.0071410359145","DFE3","0%",TRUE
"12","eqm_selfing50_DFE3_pos","0.000935725226666667","5.69967249328435e-05","1570.2","73.0458759958425",0.14177654949495,708.882747474748,708.882747474748,"1570.2","73.0458759958425","1691.2","46.8849656073245","0.000239957902222222","1.67040941042711e-05","15354.8","520.532611850593","194.2","9.09395403551173","DFE3","50%",TRUE
"27","eqm_selfing99_DFE3_pos","0.000109724586666667","3.14642062351068e-05","319.6","14.6731046476197",0.0166249373737374,83.1246868686871,83.1246868686871,"319.6","14.6731046476197","513.4","37.3068358347368","4.66091377777778e-05","1.5670398359086e-05","2889.8","258.752198058297","25.8","4.65832587954085","DFE3","99%",TRUE
