selfing,DFE,pis_avg,Nem
0,DFE1,0.00617002965333333,Nem10
0,DFE2,0.00614851264,Nem10
0,DFE3,0.00592084309333333,Nem10
50,DFE1,0.00468735530666667,Nem10
50,DFE2,0.00449964074666667,Nem10
50,DFE3,0.00402010218666667,Nem10
99,DFE1,0.00106462378666667,Nem10
99,DFE2,0.00040702016,Nem10
99,DFE3,0.00037854528,Nem10
0,DFE1,0.00626121834666667,Nem2
0,DFE2,0.00619824512,Nem2
0,DFE3,0.00595887082666667,Nem2
50,DFE1,0.00478006912,Nem2
50,DFE2,0.00452299328,Nem2
50,DFE3,0.00417914282666667,Nem2
99,DFE1,0.00127829930666667,Nem2
99,DFE2,0.00051255168,Nem2
99,DFE3,0.000527682986666667,Nem2
0,DFE1,0.00630276458666667,Nem1
0,DFE2,0.00612914474666667,Nem1
0,DFE3,0.00600251498666667,Nem1
50,DFE1,0.00485149376,Nem1
50,DFE2,0.00466272512,Nem1
50,DFE3,0.00441669888,Nem1
99,DFE1,0.00138317248,Nem1
99,DFE2,0.00055533888,Nem1
99,DFE3,0.000554626346666667,Nem1
0,DFE1,0.00635466965333333,Nem05
0,DFE2,0.00640636245333333,Nem05
0,DFE3,0.00627164586666667,Nem05
50,DFE1,0.00508071808,Nem05
50,DFE2,0.00497216789333333,Nem05
50,DFE3,0.00471370474666667,Nem05
99,DFE1,0.0015359328,Nem05
99,DFE2,0.000604352,Nem05
99,DFE3,0.00071157568,Nem05
0,DFE1,0.00628899413333333,Nem01
0,DFE2,0.00613953685333333,Nem01
0,DFE3,0.00611686976,Nem01
50,DFE1,0.0054569312,Nem01
50,DFE2,0.00525348117333333,Nem01
50,DFE3,0.00520777024,Nem01
99,DFE1,0.00177788032,Nem01
99,DFE2,0.000669998293333333,Nem01
99,DFE3,0.000750902186666667,Nem01
