"","DFE","selfing","site","posn_avg","posn_sd","S_avg","S_sd","thetapi_avg","thetapi_sd","thetaw_avg","thetaw_sd","thetah_avg","thetah_sd","hprime_avg","hprime_sd","tajimasd_avg","tajimasd_sd","numSing_avg","numSing_sd","hapdiv_avg","hapdiv_sd","11_avg","11_sd","12_avg","12_sd","13_avg","13_sd","14_avg","14_sd","rsq_avg","rsq_sd","D_avg","D_sd","Dprime_avg","Dprime_sd","B_avg","B_sd","empirical_Ne_avg","empirical_Ne_sd","gamma_avg","gamma_sd","b_avg","b_sd","GammaZero.negGmean_avg","GammaZero.negGmean_sd","GammaZero.negGshape_avg","GammaZero.negGshape_sd","selfing_Ne_avg","selfing_Ne_sd","newNE_avg","newNE_sd"
"1","DFE1",0,"neutral",250.5,0,5.6176,0.152875112428413,0.239332444444444,0.00667010711592126,1.08502808243373,0.0295275188852964,0.00736654545454545,0.000248913549873611,0.220068923137643,0.00292829785062158,-1.6640766472108,0.0164206182324292,2.4996,0.104636513703391,0.204746262626263,0.00454343375956088,2500.5,0,0.0267509170340681,0.0015224054799029,2.00040080160321e-05,2.67936537247192e-05,-0.907140534669339,0.00523405357099694,0.0268867645828278,0.00208528300781269,0.000320629722040872,8.87646175748964e-05,-0.909633543672875,0.0048647653971891,0.949197705050505,0,4745.98852525252,0,5.40328378,0,0.74274,0,5.4262488,0,0.7704074,0,5000,0,4745.98852525252,0
"2","DFE1",0,"selected",250.5,0,15.4136,0.104186371469593,0.641207515151515,0.00599666062633888,2.97710567705078,0.0201233870071525,0.0193258181818182,0.000266078107766707,0.281434760897237,0.00210522470711014,-2.16006711282503,0.00692318575206877,7.0852,0.12322012822587,0.445017696969697,0.00224679627302984,2500.5,0,0.0240592,0.000882039228152581,0,0,-0.9187376,0.00342865262165765,0.0240988361355201,0.00110981566769193,0.000237835733136704,2.6346429277433e-05,-0.918172940286791,0.00328652157883705,0.949197705050505,0,4745.98852525252,0,5.40328378,0,0.74274,0,5.4262488,0,0.7704074,0,5000,0,4745.98852525252,0
"3","DFE1",50,"neutral",250.5,0,5.474,0.177758262817794,0.230903191919192,0.00478404821918993,1.05729203276172,0.0343336490746834,0.00703620202020202,0.000105668964256976,0.215641073675892,0.000609223960226958,-1.65243121621307,0.0228998009555588,2.4656,0.138285212513848,0.193360888888889,0.00397883684646027,2500.5,0,0.035766,0.00333925350939398,0.0006424,0.000366560772587575,-0.9004192,0.00845047378553413,0.0361059668771416,0.00552932936290957,0.000544538399514881,9.12918987867727e-05,-0.898843571736106,0.0136997564004741,0.702314925252525,0,3511.57462626263,0,5.117828524,0,0.81656,0,4.9675618,0,0.8517128,0,3750,0,4761.57462626263,0
"4","DFE1",50,"selected",250.5,0,15.2512,0.088006817917705,0.630420848484849,0.00697872126999126,2.94573844538829,0.0169983389501462,0.018823595959596,0.000402923972708101,0.279218925189676,0.00242771189653678,-2.15933485186057,0.0075821965187374,7.0232,0.130970225623994,0.42291903030303,0.00359821915843538,2500.5,0,0.0339912,0.000902253401212765,3.28e-05,3.09386489685636e-05,-0.9055372,0.00146252425620912,0.0327352761239202,0.000994810006270232,0.00041910997548607,2.79176378504592e-05,-0.907920837003094,0.00265704598025862,0.702314925252525,0,3511.57462626263,0,5.117828524,0,0.81656,0,4.9675618,0,0.8517128,0,3750,0,4761.57462626263,0
"5","DFE1",80,"neutral",250.5,0,5.2504,0.173045658714687,0.221298505050505,0.00773409862060984,1.01410414483232,0.0334234191200296,0.00671765656565657,0.000270914800443002,0.211562997842873,0.00302613315240906,-1.63277504269058,0.019255447094457,2.3476,0.078630782776213,0.185411393939394,0.00579766731569159,2500.5,0,0.040924,0.00226365500905063,0.0009276,8.89988763974018e-05,-0.8904676,0.00493392833348845,0.0396423110807326,0.00232835380482866,0.00058941772053536,6.90632337902867e-05,-0.894709611377581,0.0030806939421162,0.532751870707071,0,2663.75935353535,0,4.266403404,0,1.00378,0,4.4970756,0,0.9261912,0,3000,0,4663.75935353535,0
"6","DFE1",80,"selected",250.5,0,14.706,0.392537896259712,0.600502545454546,0.0130986871811182,2.84043416766419,0.0758179010362509,0.017752,0.000332856886310942,0.27401839328322,0.000720966798377954,-2.14822670574184,0.0115591497583457,6.9032,0.236649952461436,0.405977858585859,0.0074616014751405,2500.5,0,0.0351212,0.0023089420087997,0.000296,0.000317889918053404,-0.905308,0.00427143886764166,0.0346359297820003,0.0014204270496019,0.000461916675301337,4.46513665889159e-05,-0.906352160794844,0.00290700020337691,0.532751870707071,0,2663.75935353535,0,4.266403404,0,1.00378,0,4.4970756,0,0.9261912,0,3000,0,4663.75935353535,0
"7","DFE1",90,"neutral",250.5,0,4.4968,0.231004761855681,0.182373252525253,0.0109012774914604,0.868547828447732,0.0446181027110028,0.00536816161616162,0.000380491672531784,0.192895134336701,0.00592782909750859,-1.56992239334933,0.0225493466609459,2.148,0.122759928315391,0.155497050505051,0.00675074544452158,2500.5,0,0.0452568096192385,0.00689230101384092,0.000918323046092184,0.000114333148684346,-0.885806068937876,0.0151639143794182,0.0383858780837383,0.00512779758502414,0.000584486012562309,0.000166835042732834,-0.899996921613076,0.0158907681449647,0.452773333333333,0,2263.86666666667,0,4.802400732,0,0.78146,0,5.2508492,0,0.651357,0,2750,0,4513.86666666667,0
"8","DFE1",90,"selected",250.5,0,12.6468,0.654118643672538,0.504575515151515,0.0258284967248385,2.44270385091905,0.126341693539619,0.0146972121212121,0.000889110009227956,0.258566546011626,0.00510801659920829,-2.09895187379267,0.0268516043386028,6.2368,0.448850977496986,0.355079111111111,0.0148858919270369,2500.5,0,0.0379688,0.00183047130542929,0.0007016,0.000370684232197702,-0.9027564,0.00610460144481194,0.0363235625092948,0.00264461898493546,0.000511788834637136,6.15119348863952e-05,-0.906149272761332,0.00665702185328932,0.452773333333333,0,2263.86666666667,0,4.802400732,0,0.78146,0,5.2508492,0,0.651357,0,2750,0,4513.86666666667,0
"9","DFE1",95,"neutral",250.5,0,4.072,0.393768967797108,0.157803636363636,0.0153568421505415,0.786498567301006,0.07605568001474,0.0044589898989899,0.000418874262020144,0.17983968576235,0.00708916928394776,-1.53939335043445,0.04876911817677,2.0808,0.218163241633415,0.138643151515152,0.0122221638946768,2500.5,0,0.03867,0.00440226600741027,0.0006384,0.000353879640555938,-0.905168,0.00703733514904614,0.0363060513597072,0.00495123290085693,0.00052769302444389,0.000110449141874685,-0.907484941394898,0.0103887571642207,0.369953325252525,0,1849.76662626262,0,4.00008188,0,0.67662,0,4.4152314,0,0.5670932,0,2625,0,4224.76662626262,0
"10","DFE1",95,"selected",250.5,0,11.5328,0.912546546758027,0.443940444444444,0.0341054438266143,2.22753700318493,0.176256520535528,0.0124716767676768,0.000956298197331869,0.244758594839998,0.00619832005100805,-2.07388814660723,0.04191332303847,5.9632,0.643303349905781,0.328216080808081,0.0199912527538088,2500.5,0,0.0348076,0.00268933649809762,0.0002208,0.000232944628613754,-0.9100504,0.00735021270440526,0.0332149217062306,0.000937883232634574,0.000414557161857137,3.50635318006963e-05,-0.914635237370781,0.00367879844559463,0.369953325252525,0,1849.76662626262,0,4.00008188,0,0.67662,0,4.4152314,0,0.5670932,0,2625,0,4224.76662626262,0
"11","DFE1",99,"neutral",250.5,0,3.86,0.134796142378037,0.140546666666667,0.00651364908837474,0.74555119591893,0.0260356023718144,0.00372,0.0003002205086956,0.165940473678449,0.00665659812805089,-1.53050502149408,0.02232165714416,2.1144,0.133494569177926,0.127034909090909,0.00551034581463242,2500.5,0,0.0274876,0.00484824698215757,0.0001008,0.000188279579349435,-0.9308012,0.0155426175144343,0.0300493670601036,0.00359451947112395,0.000341650311038939,7.73176524971613e-05,-0.92250823312254,0.0119369277129026,0.166989995959596,0,834.94997979798,0,3.202872604,0,0.25922,0,2.3383876,0,0.3365318,0,2525,0,3309.94997979798,0
"12","DFE1",99,"selected",250.5,0,10.8108,0.292207460548152,0.390927272727273,0.0116789670117779,2.08808416291201,0.0564392802248985,0.0103090909090909,0.000761287124486945,0.227392746826438,0.00826148991933477,-2.08098945880449,0.0300071641948319,6.0028,0.360093321237704,0.304573494949495,0.00865727272479776,2500.5,0,0.0265928,0.0020890881264322,1.96e-05,3.04105244939971e-05,-0.9295972,0.00696933090045233,0.0269803181232216,0.0013310535110625,0.000272469721220877,5.07865176761583e-05,-0.928621369192392,0.00517832758931847,0.166989995959596,0,834.94997979798,0,3.202872604,0,0.25922,0,2.3383876,0,0.3365318,0,2525,0,3309.94997979798,0
"13","DFE2",0,"neutral",250.5,0,5.4012,0.0935585378252568,0.230369373737374,0.0036181895493096,1.04323085994749,0.0180706424259189,0.00708517171717172,0.000128194640808607,0.216882587392789,0.00245711537511854,-1.64298964109746,0.0116893869691517,2.3864,0.0704045453078138,0.199449616161616,0.00294826778677868,2500.5,0,0.026768,0.00210000190476104,1.32e-05,1.39713993572584e-05,-0.9105348,0.00461381200310546,0.0246923211057556,0.00285025015617861,0.000292238222023348,0.000102021839577233,-0.91563707001931,0.00804123427719966,0.930744113131313,0,4653.72056565656,0,54.226458904,0,0.47706,0,50.6042186,0,0.492748,0,5000,0,4653.72056565656,0
"14","DFE2",0,"selected",250.5,0,10.7012,0.100643926791436,0.407892606060606,0.00518469381606378,2.06691514449939,0.0194391709796199,0.011347797979798,0.00018829830430176,0.239065426398798,0.00175168661086828,-2.04918862226318,0.00456448213812202,5.5708,0.0546186781238801,0.325127595959596,0.00398384992315005,2500.5,0,0.0205468,0.000461403511039957,2e-06,2e-06,-0.933602,0.00128817001983434,0.0200249093452389,0.000942497274519673,0.000127310670993452,1.41879134989658e-05,-0.934060974887101,0.00165218288579339,0.930744113131313,0,4653.72056565656,0,54.226458904,0,0.47706,0,50.6042186,0,0.492748,0,5000,0,4653.72056565656,0
"15","DFE2",50,"neutral",250.5,0,4.7484,0.081454281655417,0.197514585858586,0.00337582736449269,0.917143859767214,0.0157327298188895,0.00595208080808081,9.81671020271878e-05,0.201507844189829,0.00226669107056669,-1.58829904090687,0.0132528787687156,2.1932,0.0472567455502386,0.168901171717172,0.00315038970580449,2500.5,0,0.0400196,0.00489775589428465,0.0007392,0.000356139298589751,-0.8890504,0.01508864555883,0.0383391549596331,0.00283484838881859,0.000613954649088297,9.59824069831957e-05,-0.894385605687332,0.0105737477328622,0.678429123232323,0,3392.14561616162,0,53.117085732,0,0.47358,0,51.9994702,0,0.4750356,0,3750,0,4642.14561616162,0
"16","DFE2",50,"selected",250.5,0,9.7236,0.243899159490147,0.369786181818182,0.00830382018116126,1.87809368099412,0.0471086295444302,0.0102865454545455,0.000201337107747243,0.231726116765766,0.00228414146794317,-2.00307361783984,0.0155710452711606,5.0964,0.168839568822003,0.294076202020202,0.00664161650941831,2500.5,0,0.0253656,0.00237993041915095,3.2e-06,4.14728827066554e-06,-0.9287656,0.00527710401640899,0.0249885311053688,0.00116538209416965,0.000241529635140431,2.20283926080794e-05,-0.928442031901471,0.00227669902640339,0.678429123232323,0,3392.14561616162,0,53.117085732,0,0.47358,0,51.9994702,0,0.4750356,0,3750,0,4642.14561616162,0
"17","DFE2",80,"neutral",250.5,0,4.2716,0.111690644191893,0.172300929292929,0.00472351778176709,0.825050903753187,0.0215728221114563,0.00507280808080808,0.000153385732519411,0.189905467379492,0.00257042800571516,-1.54707827371392,0.0147443864883034,2.0828,0.0563311636663047,0.150294787878788,0.00325523719802201,2500.5,0,0.0367079567134269,0.00618099270335662,0.000557966332665331,0.000503652532409913,-0.899354449699399,0.0179920581910192,0.0354015236297699,0.00226400342878325,0.000476943673774693,8.36551165723841e-05,-0.903962490036695,0.00700760354307359,0.488078771717172,0,2440.39385858586,0,45.1368535,0,0.47928,0,44.3963174,0,0.4871794,0,3000,0,4440.39385858586,0
"18","DFE2",80,"selected",250.5,0,8.9968,0.113080502298142,0.331657858585859,0.00597217568666602,1.73771373042576,0.0218412703946873,0.00898052525252525,0.000209551223167772,0.220543475985993,0.00262362599836214,-1.97589204084228,0.00851358330718398,4.9576,0.079175753864425,0.268864727272727,0.00428730795262776,2500.5,0,0.0247848,0.00241604619161141,4e-07,8.94427190999916e-07,-0.9301164,0.0058472710558003,0.0237378715983175,0.00192305173082731,0.000226029859266634,4.03648633131101e-05,-0.933542697605659,0.00487119520967102,0.488078771717172,0,2440.39385858586,0,45.1368535,0,0.47928,0,44.3963174,0,0.4871794,0,3000,0,4440.39385858586,0
"19","DFE2",90,"neutral",250.5,0,2.7396,0.144647156902581,0.100523070707071,0.00763388474863709,0.529148201124223,0.0279383059106198,0.00270925252525253,0.000286591215930399,0.149602603997368,0.00833682674887113,-1.37615169322648,0.0264092803367906,1.5164,0.132976689686576,0.0931050505050506,0.00642784220978792,2500.5,0,0.0327336048096192,0.00562024465047366,0.000383999198396794,0.000317891134746326,-0.913052231663327,0.0119984706906184,0.0295623793490125,0.00509112902859701,0.000364164332198823,7.02786388269056e-05,-0.923647427820202,0.014510949134173,0.34124244040404,0,1706.2122020202,0,37.870466968,0,0.46556,0,41.8726318,0,0.4500146,0,2750,0,3956.2122020202,0
"20","DFE2",90,"selected",250.5,0,6.4472,0.274774816895581,0.222806060606061,0.010588399991797,1.24526364516283,0.0530722003484211,0.00566262626262626,0.000369389837648443,0.18708030215107,0.00617681273893573,-1.82725057590546,0.0288830211327955,3.8552,0.270327948980493,0.192275717171717,0.00821392967575776,2500.5,0,0.0249200360721443,0.00142288684597401,2.24e-05,2.94414673547362e-05,-0.933720636472946,0.00452605102724666,0.0233714790202618,0.00259315469793084,0.000206184840415004,6.22161652203687e-05,-0.938237346237675,0.00809202162954905,0.34124244040404,0,1706.2122020202,0,37.870466968,0,0.46556,0,41.8726318,0,0.4500146,0,2750,0,3956.2122020202,0
"21","DFE2",95,"neutral",250.5,0,2.1848,0.166232367485998,0.0745198383838384,0.00716322452683673,0.421989702809243,0.0321074456942024,0.0018680404040404,0.000243028472582677,0.129460852111409,0.00825679280544666,-1.309022874567,0.0380894540621586,1.3244,0.124405787646717,0.0702502626262627,0.00688244586640309,2500.5,0,0.0294430805611222,0.0110315056666992,0.000179520641282565,0.000348456808977959,-0.926200130661323,0.0271195644641978,0.0297090575563725,0.00983620919095417,0.000284707441294971,0.000215960288213483,-0.926371979604462,0.0251271696207464,0.172933333333333,0,864.666666666667,0,21.124781888,0,0.4617,0,29.4393996,0,0.3876356,0,2625,0,3239.66666666667,0
"22","DFE2",95,"selected",250.5,0,5.2948,0.294776525523998,0.17137696969697,0.0102566332696434,1.02267991506517,0.056935489930892,0.00404121212121212,0.000308852089688195,0.16555323444184,0.00607369867165309,-1.74611045095378,0.0333948859468911,3.4012,0.265339782166188,0.153904808080808,0.00866580612430856,2500.5,0,0.0194368,0.0016233475290276,8e-07,1.09544511501033e-06,-0.945456,0.0040232556468611,0.0209178462200583,0.0043839558417698,0.00015078433594742,8.48773078104169e-05,-0.943720842502193,0.0137593899611227,0.172933333333333,0,864.666666666667,0,21.124781888,0,0.4617,0,29.4393996,0,0.3876356,0,2625,0,3239.66666666667,0
"23","DFE2",99,"neutral",250.5,0,1.7416,0.0505845826314699,0.0536804848484848,0.0033769254688067,0.336386518863318,0.00977030986423634,0.0011720404040404,0.000124149065687875,0.111831317016604,0.00360049643669771,-1.26472890197458,0.0179556400593504,1.156,0.0494974746830583,0.0516388686868687,0.00321185009210925,2500.5,0,0.0283384,0.0140526966380122,0.0001256,0.000160595143139511,-0.9300168,0.0293070288019785,0.0261525133992135,0.00788433332505227,0.000296480731496635,0.00013526255489104,-0.934139659494059,0.0174629273822928,0.0424392727272727,0,212.196363636364,0,6.386344608,0,0.3541,0,8.927583,0,0.3312498,0,2525,0,2687.19636363637,0
"24","DFE2",99,"selected",250.5,0,4.432,0.15159815302305,0.132319515151515,0.00706811626069828,0.856031839459248,0.0292808767578849,0.00279159595959596,0.000270016365936745,0.143850261926285,0.00533036885986165,-1.67522615735095,0.0152825208329891,3.0788,0.142341842056368,0.121698585858586,0.00572305357570455,2500.5,0,0.0208332,0.00256712625322558,1.6e-06,4.77493455452533e-06,-0.9457228,0.00860333209866965,0.0194054319795387,0.00338870867725695,9.66302420396596e-05,4.48264928590892e-05,-0.950038076792871,0.00779012635733775,0.0424392727272727,0,212.196363636364,0,6.386344608,0,0.3541,0,8.927583,0,0.3312498,0,2525,0,2687.19636363637,0
"25","DFE3",0,"neutral",250.5,0,5.0876,0.075926280035308,0.216467474747475,0.00261155146238977,0.982659653978536,0.0146650074823833,0.00663555555555556,8.53223898706756e-05,0.21229965761163,0.000834825272345381,-1.61309533743448,0.0100220297891636,2.2572,0.0598932383495832,0.188420282828283,0.00198611386708601,2500.5,0,0.0266288,0.0014508567124289,1.16e-05,2.26892044814268e-05,-0.9140336,0.00414615855943788,0.0281015470154075,0.00345465025483743,0.00026789534839768,9.41594060577144e-05,-0.91238198901177,0.0121310734573121,0.893993082828283,0,4469.96541414141,0,949.559357308,0,0.29618,0,627.1491234,0,0.3185406,0,5000,0,4469.96541414141,0
"26","DFE3",0,"selected",250.5,0,5.3752,0.084800943390979,0.19868404040404,0.0043727502280233,1.03820901251384,0.0163791307668906,0.00542909090909091,0.000184198116238781,0.188465637584616,0.00290369756990958,-1.70203289809449,0.00653618771454044,2.9924,0.0612927401900095,0.176817696969697,0.00310620842088947,2500.5,0,0.0197692,0.00128189281923256,2.8e-06,3.03315017762062e-06,-0.9327356,0.00582639809831079,0.0207969211050038,0.00383270874895078,0.000154215936745517,9.90856947303528e-05,-0.933053660194027,0.0106641797692425,0.893993082828283,0,4469.96541414141,0,949.559357308,0,0.29618,0,627.1491234,0,0.3185406,0,5000,0,4469.96541414141,0
"27","DFE3",50,"neutral",250.5,0,4.1612,0.0690304280734226,0.17538997979798,0.00336108029674193,0.803727366957993,0.0133330876178591,0.00536961616161616,0.000166478718636348,0.196009337815349,0.00211788666099504,-1.51267807230429,0.0126202673830343,1.896,0.0695557330491168,0.152793373737374,0.00135091613304853,2500.5,0,0.0393368,0.00538858582561325,0.0008892,0.000160272268343591,-0.8885716,0.0114439619363226,0.0382765011283469,0.00369101487373344,0.000586275053240657,0.000117699362668844,-0.891141414486478,0.013022242958465,0.615592242424242,0,3077.96121212121,0,1102.759572468,0,0.28546,0,730.7180632,0,0.3032984,0,3750,0,4327.96121212121,0
"28","DFE3",50,"selected",250.5,0,4.6916,0.054523389476444,0.172306909090909,0.00340131978442048,0.906173054604469,0.0105310824429317,0.00467894949494949,0.00015442078552495,0.179044201060623,0.00259583662271521,-1.63368740871414,0.0114773642616402,2.6288,0.0713946776727789,0.153396363636364,0.00275976200751601,2500.5,0,0.0241944,0.00306749324367634,5.08e-05,0.000104810304836881,-0.9299796,0.010262618418318,0.0246742032064403,0.00291509867116195,0.000245482289956294,8.17384184531415e-05,-0.931111265753726,0.00770132267873289,0.615592242424242,0,3077.96121212121,0,1102.759572468,0,0.28546,0,730.7180632,0,0.3032984,0,3750,0,4327.96121212121,0
"29","DFE3",80,"neutral",250.5,0,3.5096,0.0765689231999511,0.14434197979798,0.00383572933836423,0.677872144351574,0.0147891327103493,0.00432872727272727,0.000163611570637048,0.180240803850753,0.00338296296754661,-1.44145461881746,0.0178845709901085,1.6664,0.0755036422962495,0.127641616161616,0.00385552728744304,2500.5,0,0.0483504,0.0040532264678895,0.0009804,0.000127979685888035,-0.8777468,0.00730845327001552,0.0357081046798909,0.00429981877286966,0.000478253997363621,0.00010981241031593,-0.90636702956295,0.0120376276877805,0.389201066666667,0,1946.00533333333,0,933.547392232,0,0.28762,0,743.1118774,0,0.2989646,0,3000,0,3946.00533333333,0
"30","DFE3",80,"selected",250.5,0,4.2416,0.0569806984864173,0.152403797979798,0.00369194782395729,0.819256464406667,0.0110057067100633,0.00406488888888889,0.000204654062698601,0.169579105390987,0.00430579574009116,-1.58733674604992,0.0154768897390039,2.4532,0.106776401887308,0.137659636363636,0.00354968299002322,2500.5,0,0.0249872,0.00146659987726714,4e-07,8.94427190999916e-07,-0.9315088,0.0034589028896458,0.025204462366293,0.00328307280224369,0.000256368396634159,7.58975599511385e-05,-0.928624541181677,0.00830358551723433,0.389201066666667,0,1946.00533333333,0,933.547392232,0,0.28762,0,743.1118774,0,0.2989646,0,3000,0,3946.00533333333,0
"31","DFE3",90,"neutral",250.5,0,1.9704,0.0667143163046734,0.0729831111111111,0.00236395756084032,0.380578776279445,0.0128857353123997,0.00199062626262626,0.000130663006014327,0.137046513871316,0.00596059144303665,-1.25363506490949,0.0163666202941671,1.082,0.0766159252375118,0.0684988282828283,0.00222339766157881,2500.5,0,0.0342094181086519,0.00600408760819419,0.000561223340040241,0.000233530479416163,-0.906649625754527,0.0213421643483158,0.0379543453609349,0.0054605095608071,0.000568286663180744,0.000149659186452107,-0.900503954187865,0.0132997453638469,0.250716993939394,0,1253.58496969697,0,546.891108304,0,0.29284,0,663.4146848,0,0.2781432,0,2750,0,3503.58496969697,0
"32","DFE3",90,"selected",250.5,0,2.8048,0.124936784014957,0.0919092525252525,0.00249349289832486,0.541741449303993,0.0241312872374653,0.00222408080808081,7.14766774325318e-05,0.134969155162416,0.0027649372624705,-1.41499759195971,0.0320566466211592,1.8,0.131407762327802,0.086591191919192,0.00270148580234118,2500.5,0,0.0198858196392786,0.00365241783732934,4.8e-06,8.67179335547152e-06,-0.94775863246493,0.0104374611031907,0.0219325095643978,0.0057941409805766,0.000182002010349564,0.000172632140107734,-0.942448087295589,0.0157946609705387,0.250716993939394,0,1253.58496969697,0,546.891108304,0,0.29284,0,663.4146848,0,0.2781432,0,2750,0,3503.58496969697,0
"33","DFE3",95,"neutral",250.5,0,1.5092,0.173381659929763,0.0519414949494949,0.00755692309451827,0.291498928725609,0.0334883170754,0.0013110303030303,0.000271699582623222,0.118623953739282,0.00963024574029836,-1.1857060221962,0.0371635746595895,0.9112,0.114774561641507,0.0499415757575758,0.00666875679876676,2500.5,0,0.0308773082164329,0.00737657553970118,0.000256433667334669,0.000365639934701266,-0.924586129859719,0.014660974289803,0.030115043776596,0.0124355450848477,0.000343756944432152,0.000251831034415464,-0.924105778280156,0.0253900924646742,0.14731966060606,0,736.598303030303,0,363.488800968,0,0.2815,0,512.233261,0,0.2605694,0,2625,0,3111.5983030303,0
"34","DFE3",95,"selected",250.5,0,2.308,0.153251427399551,0.0718868686868687,0.00593074173616313,0.445785533725619,0.0296002033611447,0.00163232323232323,0.00019726980504386,0.121145283644828,0.00488217588209999,-1.35520026404629,0.0255979651314216,1.5708,0.107150361641947,0.0686140606060607,0.005605826326163,2500.5,0,0.0195427612300907,0.00307988588084382,9.63372528188908e-06,1.62708709049937e-05,-0.945278039529662,0.00590938847608008,0.0180187579000545,0.00534158298515747,0.000135181545621153,6.9742109460784e-05,-0.947428921285672,0.0077662848518316,0.14731966060606,0,736.598303030303,0,363.488800968,0,0.2815,0,512.233261,0,0.2605694,0,2625,0,3111.5983030303,0
"35","DFE3",99,"neutral",250.5,0,1.1676,0.0749186225180362,0.0363063434343434,0.00320657514217809,0.225519579366565,0.0144703804701867,0.000824969696969697,0.000118237369314865,0.102313994489143,0.00580348568957551,-1.16214970640318,0.0104129546608707,0.7956,0.0748117637808386,0.0354248080808081,0.00320745190894407,2500.5,0,0.0181644616895763,0.0102595155772728,8.42661725866219e-05,8.07051807210277e-05,-0.94818665130825,0.0240347008832893,0.0199650701510324,0.00818957773745404,0.000138986350358289,0.000161873118085977,-0.945725281631274,0.0245937473612471,0.0482659555555555,0,241.329777777778,0,171.068717576,0,0.25852,0,619.024249,0,0.17279,0,2525,0,2716.32977777778,0
"36","DFE3",99,"selected",250.5,0,1.95,0.148586675041876,0.0569073939393939,0.00482744675910767,0.376638557523812,0.0286992158743751,0.00120169696969697,0.00014082920873909,0.108287504156862,0.00362740774230286,-1.30912989392747,0.0295439482672973,1.4284,0.140892867101213,0.0548660202020203,0.00431240831922054,2500.5,0,0.0186170605210421,0.0084787262398061,8.44e-05,0.000189854681269649,-0.951408063326653,0.0229082658406012,0.0185626674595045,0.00832954271221383,0.000132562362698793,0.000120025546009799,-0.952205887870091,0.0176268350787797,0.0482659555555555,0,241.329777777778,0,171.068717576,0,0.25852,0,619.024249,0,0.17279,0,2525,0,2716.32977777778,0
