"","selfing","DFE","B_avg","selfing_class","generation","value","scale"
"1","GRAPES","DFE1",0.938412767676768,"0% Selfing","f1",0.8,50
"2","GRAPES","DFE2",0.940897066666667,"0% Selfing","f1",0.8,50
"3","GRAPES","DFE3",0.921602262626263,"0% Selfing","f1",0.8,50
"4","GRAPES","DFE1",0.933772627609427,"50% Selfing","f1",0.8,50
"5","GRAPES","DFE2",0.929337233670034,"50% Selfing","f1",0.8,50
"6","GRAPES","DFE3",0.880702879461279,"50% Selfing","f1",0.8,50
"7","GRAPES","DFE1",0.90586865993266,"80% Selfing","f1",0.8,50
"8","GRAPES","DFE2",0.843322289562289,"80% Selfing","f1",0.8,50
"9","GRAPES","DFE3",0.778590922558923,"80% Selfing","f1",0.8,50
"10","GRAPES","DFE1",0.857494685032139,"90% Selfing","f1",0.8,50
"11","GRAPES","DFE2",0.732153829201102,"90% Selfing","f1",0.8,50
"12","GRAPES","DFE3",0.651196062442608,"90% Selfing","f1",0.8,50
"13","GRAPES","DFE1",0.785983045695046,"95% Selfing","f1",0.8,50
"14","GRAPES","DFE2",0.524456881192881,"95% Selfing","f1",0.8,50
"15","GRAPES","DFE3",0.445760277056277,"95% Selfing","f1",0.8,50
"16","GRAPES","DFE1",0.418889760976098,"99% Selfing","f1",0.8,50
"17","GRAPES","DFE2",0.149566380638064,"99% Selfing","f1",0.8,50
"18","GRAPES","DFE3",0.155567812781278,"99% Selfing","f1",0.8,50
