,DFE,selfing,empirical_Ne_avg,selfing_Ne_avg,selfing_B_avg,B_avg,selfing_adjusted_B
1,DFE1,0,4745.98852525252,5000,1,0.949197705050505,0.949197705050505
2,DFE1,50,3511.57462626263,3750,0.75,0.702314925252525,0.9364199003367
3,DFE1,80,2663.75935353535,3000,0.6,0.532751870707071,0.887919784511784
4,DFE1,90,2263.86666666667,2750,0.55,0.452773333333333,0.823224242424242
5,DFE1,95,1849.76662626263,2625,0.525,0.369953325252525,0.704673000481
6,DFE1,99,834.94997979798,2525,0.505,0.166989995959596,0.330673259325933
7,DFE2,0,4653.72056565656,5000,1,0.930744113131313,0.930744113131313
8,DFE2,50,3392.14561616162,3750,0.75,0.678429123232323,0.904572164309764
9,DFE2,80,2440.39385858586,3000,0.6,0.488078771717172,0.813464619528619
10,DFE2,90,1706.2122020202,2750,0.55,0.34124244040404,0.620440800734619
11,DFE2,95,864.666666666667,2625,0.525,0.172933333333333,0.329396825396825
12,DFE2,99,212.196363636364,2525,0.505,0.0424392727272727,0.0840381638163816
13,DFE3,0,4469.96541414141,5000,1,0.893993082828283,0.893993082828283
14,DFE3,50,3077.96121212121,3750,0.75,0.615592242424242,0.820789656565656
15,DFE3,80,1946.00533333333,3000,0.6,0.389201066666667,0.648668444444444
16,DFE3,90,1253.58496969697,2750,0.55,0.250716993939394,0.455849079889807
17,DFE3,95,736.598303030303,2625,0.525,0.147319660606061,0.280608877344877
18,DFE3,99,241.329777777778,2525,0.505,0.0482659555555555,0.0955761496149615
